year,game_sno,date,opponent,home_away,final_visiting,final_home,lin_li_played,lin_li_role,team_win,team_r,team_pa,team_ab,team_h,team_1b,team_2b,team_3b,team_hr,team_bb,team_ibb,team_hbp,team_sf,team_sac,team_so,team_gidp,team_sb,team_cs
2020,94,2020-06-17,統一7-ELEVEn獅,away,15,1,True,先發,True,5,39,37,12,7,2,0,3,1,0,1,0,0,7,1,1,1
2020,95,2020-06-18,統一7-ELEVEn獅,away,5,10,True,先發,False,5,40,35,11,6,2,0,3,4,0,1,0,0,11,1,2,0
2020,96,2020-06-19,中信兄弟,away,4,7,True,先發,False,4,38,34,8,4,4,0,0,3,1,1,0,0,5,2,0,0
2020,98,2020-06-20,中信兄弟,away,11,1,True,先發,True,11,43,41,14,6,3,1,4,2,0,0,0,0,9,0,0,0
2020,100,2020-06-21,中信兄弟,away,8,1,True,先發,True,8,39,36,10,6,3,0,1,3,0,0,0,0,8,1,0,0
2020,102,2020-06-23,富邦悍將,home,11,4,True,先發,False,4,39,39,12,10,1,0,1,0,0,0,0,0,10,2,0,0
2020,103,2020-06-24,富邦悍將,home,3,10,True,先發,True,10,43,33,11,5,3,1,2,9,0,0,1,0,3,1,3,0
2020,105,2020-06-26,統一7-ELEVEn獅,home,6,8,True,先發,True,8,37,36,12,6,2,2,2,0,0,1,0,0,3,0,1,0
2020,107,2020-06-27,統一7-ELEVEn獅,home,21,5,True,先發,False,5,39,38,10,4,3,1,2,1,0,0,0,0,10,0,1,0
2020,109,2020-06-28,統一7-ELEVEn獅,home,10,2,True,先發,False,2,36,35,7,5,1,0,1,1,0,0,0,0,9,0,1,0
2020,111,2020-06-30,中信兄弟,home,2,7,True,先發,True,7,34,27,6,2,3,0,1,3,0,2,2,0,7,0,0,1
2020,112,2020-07-01,中信兄弟,home,20,0,True,先發,False,0,34,29,4,3,1,0,0,5,0,0,0,0,8,2,0,0
2020,115,2020-07-03,富邦悍將,away,15,8,True,先發,True,15,48,45,21,13,4,0,4,1,0,0,2,0,10,1,1,0
2020,117,2020-07-04,富邦悍將,away,6,7,True,先發,False,6,38,34,10,5,5,0,0,2,0,1,1,0,7,1,1,1
2020,119,2020-07-05,富邦悍將,away,4,9,True,先發,False,4,38,35,9,7,1,0,1,2,0,0,1,0,4,0,0,1
2020,121,2020-07-24,富邦悍將,away,7,8,True,先發,False,7,53,51,16,12,2,0,2,2,0,0,0,0,8,2,2,0
2020,123,2020-07-25,富邦悍將,away,5,8,False,,False,5,41,39,12,9,3,0,0,2,0,0,0,0,8,1,1,0
2020,125,2020-07-26,富邦悍將,away,10,5,True,非先發,True,10,45,40,15,12,2,1,0,4,0,0,1,0,4,1,0,0
2020,127,2020-07-28,中信兄弟,home,4,1,True,非先發,False,1,36,34,7,5,2,0,0,0,0,1,1,0,7,0,0,0
2020,128,2020-07-29,中信兄弟,home,7,8,True,先發,True,8,41,35,10,5,2,0,3,5,1,1,0,0,14,0,3,0
2020,131,2020-07-31,統一7-ELEVEn獅,home,2,3,True,先發,True,3,36,33,7,5,1,1,0,2,0,1,0,0,4,0,1,0
2020,133,2020-08-01,統一7-ELEVEn獅,home,3,5,True,先發,True,5,31,29,10,7,1,0,2,0,0,1,1,0,7,1,1,1
2020,135,2020-08-02,統一7-ELEVEn獅,home,10,4,True,先發,False,4,42,39,11,9,2,0,0,2,0,0,1,0,6,1,2,0
2020,139,2020-08-05,富邦悍將,home,5,4,True,非先發,False,4,32,30,8,7,1,0,0,1,1,0,1,0,7,0,1,0
2020,140,2020-08-06,富邦悍將,home,3,8,False,,True,8,40,37,16,12,3,0,1,3,0,0,0,0,6,1,0,2
2020,141,2020-08-07,中信兄弟,away,4,1,True,先發,True,4,36,33,9,7,1,1,0,2,0,1,0,0,7,1,0,1
2020,143,2020-08-08,中信兄弟,away,0,11,False,,False,0,33,32,6,6,0,0,0,1,0,0,0,0,6,0,1,1
2020,145,2020-08-09,中信兄弟,away,5,10,True,非先發,False,5,38,34,11,9,1,0,1,3,0,0,1,0,5,1,0,1
2020,147,2020-08-11,富邦悍將,away,2,4,True,先發,False,2,38,32,6,4,2,0,0,4,0,2,0,0,15,1,1,0
2020,148,2020-08-12,富邦悍將,away,6,10,True,先發,False,6,44,40,14,11,3,0,0,4,1,0,0,0,9,0,2,0
2020,151,2020-08-14,中信兄弟,home,6,11,True,先發,True,11,41,35,13,8,3,1,1,3,0,2,0,1,7,0,1,1
2020,153,2020-08-15,中信兄弟,home,11,1,False,,False,1,35,34,8,8,0,0,0,1,0,0,0,0,10,0,0,1
2020,155,2020-08-16,中信兄弟,home,4,1,True,先發,False,1,35,33,6,4,1,0,1,1,0,1,0,0,6,0,0,0
2020,159,2020-08-19,統一7-ELEVEn獅,home,8,2,True,先發,False,4,38,32,5,2,2,0,1,6,0,0,0,0,3,1,0,0
2020,160,2020-08-20,統一7-ELEVEn獅,home,8,7,True,先發,False,7,42,40,14,9,3,1,1,1,0,0,1,0,3,0,1,0
2020,162,2020-08-21,富邦悍將,home,8,8,True,先發,False,3,36,31,10,8,0,0,2,4,1,0,0,1,5,2,1,0
2020,164,2020-08-22,富邦悍將,home,3,19,True,先發,True,10,46,40,17,12,3,1,1,4,0,1,1,0,4,0,1,0
2020,166,2020-08-23,富邦悍將,home,4,0,True,先發,False,0,35,33,7,6,1,0,0,2,0,0,0,0,6,1,0,0
2020,167,2020-08-25,中信兄弟,away,1,4,True,先發,False,1,35,33,6,4,2,0,0,2,0,0,0,0,8,1,1,0
2020,168,2020-08-26,中信兄弟,away,3,5,True,先發,False,3,40,37,11,10,1,0,0,3,0,0,0,0,15,1,0,0
2020,171,2020-08-28,統一7-ELEVEn獅,away,3,8,True,先發,False,3,38,32,5,3,1,0,1,5,0,1,0,0,7,1,1,0
2020,173,2020-08-29,統一7-ELEVEn獅,away,11,6,False,,True,11,47,38,12,6,4,0,2,6,0,2,1,0,5,1,2,0
2020,175,2020-08-30,統一7-ELEVEn獅,away,7,4,False,,True,7,53,48,14,10,1,0,3,4,0,1,0,0,8,1,1,1
2020,177,2020-09-01,富邦悍將,home,14,2,True,非先發,False,2,39,35,9,6,3,0,0,4,0,0,0,0,11,0,0,0
